dataset,experiment_block,model,apply_sortstats_at,branches,steepness,lr,batch_size,seed,best_val_f1,final_val_acc,final_val_recall,total_time_min,best_epoch,epochs_trained,n_params
forest_cover_small,bloque2,sortstats_mlp,[0],sort_only,5.0,0.001,512.0,52,0.76708,0.773148,0.773148,1.03,77.0,107.0,4327.0
forest_cover_small,bloque1,sortstats_mlp,"[0, 1]",both,5.0,0.001,512.0,42,0.716814,0.719907,0.719907,0.96,29.0,59.0,5031.0
forest_cover_small,bloque1,random_forest,N/A,N/A,,,,42,0.8558249660080095,0.8581349206349206,0.8581349206349207,0.0071,,,
forest_cover_small,bloque1,xgboost,N/A,N/A,,,,42,0.84517862473325,0.8478835978835979,0.8478835978835979,0.0292,,,
electricity,bloque2,sortstats_mlp,[0],sort_only,5.0,0.001,1024.0,62,0.796225,0.803045,0.793504,1.2,121.0,151.0,1329.0
adult,bloque1,sortstats_mlp,[0],both,5.0,0.001,1024.0,62,0.770961,0.806019,0.826763,5.01,15.0,45.0,7153.0
adult,bloque1,random_forest,N/A,N/A,,,,62,0.7864268663327727,0.8518783908281298,0.773507400102615,0.0156,,,
adult,bloque1,xgboost,N/A,N/A,,,,62,0.8146535483874117,0.8726584092537619,0.7978661743356819,0.0089,,,
forest_cover_small,bloque2,sortstats_mlp,[0],stats_only,5.0,0.001,512.0,42,0.766565,0.775794,0.775794,0.46,152.0,182.0,2727.0
santander,bloque1,sortstats_mlp,[],both,5.0,0.001,2048.0,52,0.63416,0.773375,0.775699,0.96,5.0,35.0,7217.0
santander,bloque1,random_forest,N/A,N/A,,,,52,0.473545669913135,0.8995,0.5,2.2673,,,
santander,bloque1,xgboost,N/A,N/A,,,,52,0.6521652350275637,0.91635,0.6084682203214058,0.1718,,,
forest_cover_small,bloque1,sortstats_mlp,[2],both,5.0,0.001,512.0,42,0.73222,0.737765,0.737765,1.04,105.0,135.0,2759.0
forest_cover_small,bloque1,random_forest,N/A,N/A,,,,42,0.8558249660080095,0.8581349206349206,0.8581349206349207,0.0071,,,
forest_cover_small,bloque1,xgboost,N/A,N/A,,,,42,0.84517862473325,0.8478835978835979,0.8478835978835979,0.0292,,,
santander,bloque1,sortstats_mlp,[2],both,5.0,0.001,2048.0,62,0.628812,0.763075,0.781353,2.0,14.0,44.0,7377.0
santander,bloque1,random_forest,N/A,N/A,,,,62,0.473545669913135,0.8995,0.5,2.264,,,
santander,bloque1,xgboost,N/A,N/A,,,,62,0.663470336610557,0.918175,0.6168849333101032,0.1552,,,
electricity,bloque1,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,1024.0,42,0.78184,0.793777,0.776152,1.63,26.0,56.0,2193.0
electricity,bloque1,random_forest,N/A,N/A,,,,42,0.907946812372887,0.910404943175549,0.9063777076360968,0.0143,,,
electricity,bloque1,xgboost,N/A,N/A,,,,42,0.9017436639398309,0.9040052962595168,0.901634274033603,0.0057,,,
santander,bloque1,sortstats_mlp,"[0, 1]",both,5.0,0.001,2048.0,52,0.693058,0.840775,0.792283,82.33,6.0,36.0,14321.0
santander,bloque1,random_forest,N/A,N/A,,,,52,0.473545669913135,0.8995,0.5,1.9603,,,
santander,bloque1,xgboost,N/A,N/A,,,,52,0.6506191765264725,0.9161,0.6073349207271038,0.1264,,,
california,bloque1,sortstats_mlp,[2],both,5.0,0.001,512.0,52,0.864652,0.864826,0.864843,0.91,53.0,83.0,1233.0
california,bloque1,random_forest,N/A,N/A,,,,52,0.8948544684878921,0.8948643410852714,0.8948692458736249,0.0086,,,
california,bloque1,xgboost,N/A,N/A,,,,52,0.9074549621614312,0.9074612403100775,0.9074654438457359,0.0039,,,
diabetes,bloque1,sortstats_mlp,[2],both,5.0,0.001,2048.0,42,0.749059,0.749699,0.749703,0.74,22.0,52.0,1649.0
diabetes,bloque1,random_forest,N/A,N/A,,,,42,0.735704006307031,0.7360492255463611,0.7360517853616293,0.0163,,,
diabetes,bloque1,xgboost,N/A,N/A,,,,42,0.7516109624977936,0.7521041092014994,0.7521072643610177,0.0057,,,
adult,bloque1,sortstats_mlp,[2],both,5.0,0.001,1024.0,42,0.789214,0.830587,0.823417,1.21,49.0,79.0,4081.0
adult,bloque1,random_forest,N/A,N/A,,,,42,0.792078929256685,0.8567918927218753,0.7771768303752378,0.018,,,
adult,bloque1,xgboost,N/A,N/A,,,,42,0.8183239406717029,0.8760364418057119,0.7995003130597909,0.0075,,,
santander,bloque3,sortstats_mlp,"[0, 1, 2]",both,1.0,0.001,2048.0,52,0.706166,0.869525,0.757111,106.39,16.0,46.0,14481.0
santander,bloque3,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,256.0,62,0.714106,0.890225,0.727629,126.88,21.0,51.0,14481.0
electricity,bloque1,sortstats_mlp,[],both,5.0,0.001,1024.0,62,0.792983,0.798852,0.791462,0.88,120.0,150.0,1073.0
electricity,bloque1,random_forest,N/A,N/A,,,,62,0.9056321317891352,0.9080878296369855,0.9043302244644527,0.014,,,
electricity,bloque1,xgboost,N/A,N/A,,,,62,0.9045045140308654,0.9067637647578065,0.9041333870192931,0.0049,,,
diabetes,bloque2,sortstats_mlp,[0],stats_only,5.0,0.001,2048.0,52,0.752856,0.753236,0.753233,0.45,24.0,54.0,1617.0
adult,bloque3,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,1024.0,52,0.801035,0.850036,0.812017,8.31,37.0,67.0,7889.0
california,bloque1,sortstats_mlp,"[0, 1]",both,5.0,0.001,512.0,42,0.859246,0.859254,0.859258,0.85,20.0,50.0,2033.0
california,bloque1,random_forest,N/A,N/A,,,,42,0.8936492000855176,0.8936531007751938,0.8936562447551052,0.0091,,,
california,bloque1,xgboost,N/A,N/A,,,,42,0.9120633290695102,0.9120639534883721,0.9120654586341383,0.0039,,,
california,bloque2,sortstats_mlp,[1],stats_only,5.0,0.001,512.0,52,0.873304,0.873304,0.873305,0.36,70.0,100.0,1137.0
